year,Datetime,q_05,q_15,q_25,q_35,q_5,q_65,q_75,q_85,q_95,actual
170,18/07/2019 12:30,33.89339447,35.71774292,34.72402954,33.82129669,36.45825195,36.30554199,38.11320877,41.38523483,45.63456726,36.525
171,18/07/2019 13:00,33.68215942,35.46222305,34.15917206,33.44321823,35.95921707,35.56412888,37.44872284,39.43770981,43.97455597,36.86
172,18/07/2019 13:30,33.74211884,35.44760895,33.9671402,33.38873672,35.71579742,35.19319153,37.14306641,38.3273735,43.22558212,36.57
173,18/07/2019 14:00,34.17683029,35.86338425,34.43265533,33.85893631,35.91984177,35.51282501,37.41368484,38.68289948,44.74824524,36.28
174,18/07/2019 14:30,35.17047119,37.19402695,35.76115417,35.40709305,37.13490295,37.12606812,38.78213501,41.19113541,49.25317001,39.06
175,18/07/2019 15:00,36.92932129,40.07722855,37.85787964,38.65320587,39.80769348,40.31480408,41.90869522,45.63660049,54.2728157,41.84
176,18/07/2019 15:30,39.38785172,43.46103668,40.43975067,42.47665024,43.21189499,44.22076797,46.14390182,49.86382675,57.65506744,44.14
177,18/07/2019 16:00,42.02177429,45.81895447,42.95843506,45.23244095,46.56998825,47.37291336,49.81360626,52.49634552,59.63759613,46.44
178,18/07/2019 16:30,44.28022766,47.31666565,44.71192169,46.79040146,49.30653381,49.32973862,52.12570572,53.78375626,60.77577209,48.615
179,18/07/2019 17:00,45.93025208,48.33938217,45.55625916,47.49787903,50.77877045,50.32334137,53.09817505,54.1765976,61.28920746,50.79
180,18/07/2019 17:30,46.88422394,48.8274765,45.66483307,47.50532532,51.00411606,50.47468185,52.80025864,53.91782379,61.09088516,50.56
181,18/07/2019 18:00,46.90092087,48.29786301,45.09673309,46.77073288,50.4517746,49.85570145,51.48380661,53.17634201,59.80501175,50.33
182,18/07/2019 18:30,45.54779434,46.47314072,43.77448654,45.60296249,49.41389847,48.51178741,50.45198059,52.04909134,57.13444138,49.665
183,18/07/2019 19:00,43.44073105,43.94297791,41.88748932,44.15913391,47.79166794,46.55056763,49.30170441,50.38724899,53.82703781,49
184,18/07/2019 19:30,41.4054184,41.67880249,40.08711624,42.36580276,45.33494949,44.3621521,46.71267319,48.17921448,51.38889694,49.145
185,18/07/2019 20:00,39.66396713,40.00509262,38.70031738,40.7947731,42.42648315,42.21897125,44.94325638,46.04901886,50.29423141,49.29
186,18/07/2019 20:30,38.16066742,38.69523239,37.6506424,39.77210236,40.24949265,40.64017487,43.72827911,44.58704376,49.85462952,45.645
187,18/07/2019 21:00,36.80928421,37.51918793,36.82259369,39.06702805,39.20437622,39.7961731,42.67782593,43.64390564,49.25326157,42
188,18/07/2019 21:30,35.53101349,36.38737869,36.12272263,38.42001343,38.67396545,39.21755981,41.55078506,42.79267883,48.22387695,42.55
189,18/07/2019 22:00,34.23796844,35.27933502,35.46444321,37.67510605,38.03765869,38.53637695,40.23688889,41.70912552,46.70436478,43.1
190,18/07/2019 22:30,32.82460403,34.17516327,34.76718903,36.72583771,37.05226135,37.57321548,38.67824173,40.14326859,44.6475029,39.965
191,18/07/2019 23:00,31.17918205,33.04146194,33.95007706,35.47209167,35.78537369,36.2976265,36.85821533,37.9611969,42.1611557,36.83
192,18/07/2019 23:30,29.22450256,31.84421158,32.91666794,33.8776474,34.4916153,34.8939476,34.91106033,35.48851776,39.5225029,35.54
193,19/07/2019 00:00,26.21455956,28.18413734,31.15524673,30.67049026,31.14387703,33.69747162,34.45663452,34.69230652,37.60528183,34.25
194,19/07/2019 00:30,24.60124969,27.71773529,30.24453735,30.30102348,31.51294708,33.58199692,33.18044662,33.86936569,36.38177109,34.06
